a	một
ear	tai
eardrum	màng nhĩ
earl	bá tước
earlier	trước đó
early	sớm
earmark	đánh giấu riêng
earned	đã thu được
earnest	nghiêm trang
earring	bông tai
ears	những lổ tai
earth	đất
earthen	bằng đất
earthenware	đồ bằng đất nung
earthquake	động đất
earthworm	giun đất
ease	dễ dàng
easel	khung vẽ
easier	dễ dàng hơn
easily	một cách dễ dàng
east	hướng đông
eastbound	về hướng đông
eastward	phía đông
easy	dễ dàng
easygoing	dễ tính
eat	ăn
eatable	ăn được
eaten	đã ăn
eater	người ăn
eating	đang ăn
eavesdrop	nghe trộm
ebb	triều xuống
ebbed	đã giảm xuống
ebony	gỗ mun
eccentric	người lập dị
echelon	bậc
echinoderm	động vật da gai
economy	nền kinh tế
ecstasy	sự ngây ngất
eddies	những xoáy nước
eddy	xoáy
edelweiss	cây nhung tuyết
edge	viền, cạnh, mí
edgewise	từ phía bên cạnh
edible	ăn được
edict	sắc lệnh
edify	khai trí
edit	hiệu đính
educate	giáo dục
eerie	kỳ quái, ớn sợ
efface	làm lu mờ
effect	hiệu quả, tác dụng, hiệu lực
effectually	có hiệu quả, có kết quả
effete	bất lực
efficacious	hiệu quả
efficacy	hiệu quả
efficient	hiệu quả
effort	công sức
efforts	nỗ lực
egg	quả trứng
ego	cái tôi
egotistical	tự cao tự đại
egress	lối ra
eight	tám
eighteen	18
either	hay
ejaculate	phóng ra
elbow	khuỷu tay
elbows	những khuỷu tay
election	bầu cử
electric	(thuộc) điện
electrify	làm giẩy nảy người
electrocardiogram	điện tâm đồ
electrocardiograph	máy ghi điện tim
electrode	điện cực
elementary	dễ hiểu
elementary school	trường tiểu học
elementry	dễ hiểu
elevate	nâng lên
elf	yêu tinh
eliminate	loại bỏ
elimination	loại bỏ
eloquent	có tài hùng biện
eloquently	hùng hồn
else	khác
embark	dấn mình vào
embrace	ôm chầm
embracing	ôm chầm
emergency	khẩn cấp
emergency room	phòng cấp cứu
emigrate	di cư
emotion	cảm xúc
emphasis	nhấn mạnh
employ	thuê (làm)
emptied	làm trống
emptiness	sự trống rỗng
empty	trống rỗng
enable	cho phép
enabled	đã (bị) tạo khả năng
enclose	kèm theo
encountered	đã gặp phải
encourage	khuyến khích
encouraged	khuyến khích
encouragement	sự khuyến khích
encouraging	khuyến khích
encyclopedia	bách khoa toàn thư
end	cuối
endanger	gây nguy hiểm
ended	kết thúc
ending	kết thúc
endless	vô tận
endorse	chứng thực
ends	kết thúc
endure	chịu được
endured	đã (bị) chịu đựng
enduring	lâu dài
enemy	kẻ thù
enemy's	của đối phương
enforce	thực thi
enforcing	đang thực thi
engage	hứa hẹn
England	nước Anh
english	tiếng Anh
enjoy	thích
enormous	to lớn, khổng lồ
enormousness	kếch xù, vĩ đại
enough	đủ
enrich	làm giàu
ensure	đảm bảo
enter	nhập, vào
entered	đã vào
entertain	giải trí
enthusiastically	một cách nhiệt tình
enticed	dụ dỗ
entire	toàn bộ
entrance	lối vào
entreated	thỉnh cầu, nài xin
entry	nhập cảnh
envelope	phong bì
enveloped	đã bao bọc
enveloping	bao bọc
environment	môi trường
envy	ghen tị
epidemic	dịch bệnh
equal	như nhau, bằng nhau
equally	một cách bằng nhau
equilibrium	trạng thái cân bằng
equivalent	tương đương
erase	tẩy xóa
ere	trước
erect	dựng lên, đứng thẳng
errand	việc lặt vặt
errands	việc vặt
error	lỗi
escape	thoát
escaped	đã thoát
escorted	đã (được) hộ tống
especial	riêng đặc biệt
especially	đặc biệt là
essay	bài luận
essence	bản chất
essencial	thiết yếu
essential	cần thiết
establish	thành lập
estate	bất động sản
estimate	ước lượng
estimation	sự dự toán
eternal	vĩnh cửu
eternity	vĩnh cửu
ethical	đạo đức
evacuate	sơ tán
eve	đêm trước
even	thậm chí, huề
evening	buổi tối
event	sự kiện
events	sự kiện
ever	bao giờ
every	mỗi
everybody	tất cả mọi người
everyday	hàng ngày
everything	tất cả mọi thứ
everywhere	ở khắp mọi nơi
evidence	bằng chứng
evidenced	đã chứng minh
evident	hiển nhiên
evil	cái ác
evil-looking	ác
evil-tempered	ác tính
evinced	tỏ ra
exact	chính xác
exaggerate	phóng đại
exam	thi
examine	kiểm tra
examined	kiểm tra
examining	đang kiểm tra
example	ví dụ
exceed	vượt quá
excelled	đạt xuất sắc
excellent	tuyệt vời
except	ngoại trừ
exception	sự ngoại lệ
excess	quá mức
excessive	quá mức
exchange	trao đổi
exchanged	đã trao đổi
excite	kích thích
excited	đã (bị) kích thích
excitedly	một cách hào hứng
excitement	sự phấn khích
exclaim	kêu lên
exclamation mark	dấu chấm than
exclamations	những tiếng kêu
exclusion	loại trừ
excrescence	cục u, u lồi
excuse	tha lỗi
Excuse me	xin lỗi
execute	thực hiện, chạy
exempt	miễn thuế
exercise	thể dục
exertion	sự rán sức
exhale	bốc lên
exhausted	đã kiệt sức
exhausting	đang kiệt quệ
exhibition	triển lãm
exist	tồn tại
existence	sự tồn tại
exit	lối ra
expand	mở rộng
expect	mong đợi
expectant	trông mong
expected	đã dự kiến
expecting	đang mong đợi
expediency	phương tiện, có lợi, tính thiết thực
expense	chi phí
expensive	đắt tiền
experience	kinh nghiệm
experienced	đã kinh nghiệm
experiment	thử nghiệm
expire	hết hạn
explain	giải thích
explode	phát nổ
exploit	khai thác
explore	khám phá
export	sự xuất khẩu
express	thể hiện, nhanh chóng
expressed	bày tỏ
expressing	đang thể hiện
expression	sự biểu hiện
exquisite	tinh tế
extend	mở rộng
extension	sự mở rộng
extention	sự gia hạn
extermination	tiêu diệt
external	bên ngoài
extinct	tuyệt chủng
extra	thêm
extract	chiết xuất
extracted	đã chiết xuất
extracurricular activity	hoạt động ngoại khóa
extraordinary	bất thường
extreme	cực
extremity	bộ phận đầu chóp ngón tay, mũi; hoàn cảnh cùng cực
exultantly	một cách phấn khởi
eye	mắt
eye glass	mắt kính
eye measurement	đo mắt
eyebrow	lông mày
eyeglass	kính đeo mắt
eyelid	mí mắt
eyes	những con mắt
fabled	ngụ ngôn
face	mặt
faced	đã (bị) đối mặt
facility	cơ sở vật chất
facing	phải đối mặt với
fact	thực tế
factor	nhân tố
factory	nhà máy
facts	những sự kiện
faculty	khoa
fade	phai
fading	mờ dần
fail	thất bại
failed	đã thất bại
failing	thất bại, không làm
fails	thất bại, không làm
failure	thất bại
faint	mờ nhạt
fainter	mờ hơn
faintest	mờ nhạt, mong manh nhất
faintly	phơn phớt, mờ nhạt
fair	công bằng
fairly	khá
fairy	cổ tích
fairy tale	chuyện cổ tích
faith	đức tin
faithful	trung thành
faithfully	một cách trung thành
faithfulness	lòng trung thành
fake	giả
fake sickness	ốm giả vờ
fall	rơi
fallen	đã rơi
falling	đang giảm, rơi
fame	danh tiếng
familiar	quen thuộc
familiarity	sự quen thuộc
family	gia đình
famine	nạn đói
famished	đã chết đói
famous	nổi tiếng
fan	quạt
fancy	đẹp
fang	răng nanh
fanged	cắm nanh
fangs	những răng nanh
fanned	đã quạt
fantasy	hình ảnh tưởng tượng
far	xa
fare	ăn, gặp phải hoàn cảnh
fared	đã ở tình trạng
farm	trang trại
farmer	nông dân
farther	xa hơn
farthest	xa nhất
fashion	thời trang
fashions	những thời trang
fast	nhanh
fasten	buộc, thắt
fastened	đã gắn chặt
faster	nhanh hơn
fastidiousness	sự kén chọn
fat	chất béo
fatal	gây tử vong
fate	số phận
fateful	lời tiên tri, thuộc số mệnh
father	cha
father in law	bố chồng ( bố vợ)
fathered	làm cha
fathers	những người cha
fatigue	mệt mỏi
faucet	vòi nước
fault	lỗi
favor	ủng hộ
favored	đã (được) ưa chuộng
favorite	yêu thích
favors	ủng hộ
fawn	hươu con
fawned	đã khúm núm
fear	sợ
feared	đã sợ
fearful	sợ hãi
fearfully	kinh hải
fearlessly	(một cách) không sợ hãi
feasted	ăn tiệc
feat	kỳ công, chiến công
feather	lông chim
feathered	bằng lông chim
feathers	lông chim
feature	tính năng
February	Tháng hai
fed	đã (cho) ăn
fee	lệ phí
feebly	yếu ớt
feed	nuôi
feel	cảm thấy
feeling	cảm thấy
feelings	những cảm xúc
feet	chân
feets	những bàn chân
feigned	giả mạo
fell	đã (bị) té, giảm, rơi
fellow	đồng bạn
fellows	kẻ đồng bạn, người ngang hàng
fellowship	tình đồng bạn, học bổng
felt	đã (bị) cảm thấy
female	nữ
feminine	nữ tính
fence	hàng rào
ferocious	dã man
ferocity	tính dữ tợn, tính hung ác
ferry	chiếc phà
fertile	màu mỡ
fertilizer	phân bón
fervently	nhiệt thành
festive	lễ hội
fetch	lấy
fetching	đang lấy/nhặt, đang làm say mê
fever	cơn sốt
feverish	nóng nảy
few	vài
fiber	sợi
fibre	sợi
fiction	viễn tưởng
fidelity	tính trung thực
field	lĩnh vực
fiend	kẻ có khả năng xuất quỷ nhập thần
fierce	khốc liệt
fiercely	một cách quyết liệt
fierceness	sự dữ dằn
fiercer	khốc liệt hơn
fiercest	ác liệt
fifteen	15
fifth	thứ năm
fifty	năm mươi
fifty pound	£ 50
fifty-mile	50 dặm
fifty-pound	50-pao
fight	chiến đấu
fighter	chiến sĩ
fighters	những chiến sĩ
fighting	đang chiến đấu
fights	(những cuộc) chiến đấu
figure	suy ra, con số
file	tập tin
filing	nộp hồ sơ
fill	điền
filled	đã làm đầy
fills	lấp đầy
filter	bộ lọc
fin	vây
final	cuối cùng
finally	cuối cùng
finance	tài chính
find	tìm
finding	tìm kiếm
fine	tốt
finely	một cách mịn, sang trọng
finger	ngón tay
fingerprint	dấu vân tay
fingers	những ngón tay
finish	kết thúc
finished	đã kết thúc
finishing	đang hoàn thành
fire	lửa
fire station	trạm cứu hỏa
fireman	lính cứu hỏa
fireplace	lò sưởi
fires	những ngọn lửa
fire-scorched	đã (bị) cháy sém
firewood	củi
firm	công ty
first	thứ nhất
first aid	sự sơ cứu
first lady	Đệ nhất phu nhân
fish	con cá
fished	đánh bắt
fisherman	ngư dân
fishing	đánh bắt cá
fish-sacks	bao tải cá
fishy smell	mùi tanh
fissures	vết nứt
fist	nắm tay, nắm đấm
fit	phù hợp với
fits	phù hợp với, vừa
fitting room	phòng thử quần áo
five	năm
fivescore	100
fix	sửa chữa
fixed	đã cố định
fixture	sự cố định
flag	cờ
flagged	gắn cờ, vẫy cờ
flake	bông
flame	ngọn lửa
flames	những ngọn lửa
flaming	đang cháy
flank	hông
flanks	những bên sườn
flap	vỗ
flapped	đã đập, vỗ
flare	lóe lên
flash	lóe sáng
flashed	đã lóe sáng
flashing	đang nhấp nháy
flat	phẳng
flattened	phẳng, làm thẳng
flatter	tâng bốc
flavor	hương thơm
flea	con bọ chét
flecked	đã đốm
fled	đã chạy trốn
flee	chạy trốn
fleeing	chạy trốn
fleeting	không lâu dài
flesh	thịt
flew	đã bay
flexible	linh hoạt
flickered	chập chờn
flies	bay
flight	chuyến bay
fling	chạy vụt ra
flint-lock	khoá súng hồi xưa
flirted	tán tỉnh
flitted	lướt
float	phao
flock	bầy đàn
flood	lũ lụt
floor	sàn
floral	hoa
floss	chỉ tơ
flounder	chạy lung tung
floundered	lúng túng
flour	bột
flower	hoa
flowers	hoa
flowing	đang trôi/chảy
flows	dòng chảy
fluent	thông thạo
fluid	chất lỏng
flung	đã ném
flush	tuôn ra
fluttered	rung rinh
fly	bay
flying	đang bay
foal	con ngựa con
foam	bọt
foaming	đang tạo bọt
focal	thuộc tiêu điểm
focal point	tiêu điểm
focus	tập trung
foe	kẻ thù
fog	sương mù
fold	gấp
folds	nếp gấp
follow	theo
followed	đã đi theo
following	đang đi theo
folly	dại dột
fond	thích
fondle	vuốt ve
font	phông chữ
food	thực phẩm
fool	đánh lừa, thằng hề
fooled	đã (bị) lừa
fools	fools
foot	chân
football	bóng đá
foot-gear	đồ phụ tùng mặc cho chân
footing	thế đứng
footsore	đau chân
footsteps	những bước chân
for	cho
forbear	tổ tiên
forbid	cấm
forbiddingly	một cách cấm tuyệt
force	lực lượng
forced	đã buộc
fore	trước
forebears	những tổ tiên
forecast	dự báo
forego	bỏ qua
forehead	trán
foremost	quan trọng nhất
forest	rừng
forevalued	đã có giá trị trước đây
forever	mãi mãi
forewent	đi trước
forged	giả mạo; rèn
forget	quên
forgetfulness	sự lãng trí
forgive	tha thứ
forgot	đã quên
forgotten	đã quên
forlorn	đau khổ, tuyệt vọng
form	(tạo)hình thức
formal	chính thức
formed	hình thành
former	cựu, trước đây
formidable	ghê gớm, đáng ngại
forming	hình thành
forms	(tạo)(những) hình thức
forth	tới trước
fortune	tài sản
fortune teller	thầy bói
fortunes	vận may
forty	40
forty-mile	40 dặm
forward	về phía trước
fossil	hóa thạch
fought	đã chiến đấu
foul	hôi
found	đã tìm thấy
founder	người sáng lập
fountain	đài phun nước
fountains	đài phun nước
four	4
fourteen	14
fourth	thứ tư
fox	con cáo
fraction	phân số
fracture	sự gãy
fragile	dễ vỡ
frame	khung
frank	thẳng thắn
frankly	thẳng thắn
frantically	điên cuồng, hớt hãi
fraternity	phường hội
fraud	gian lận
fraught	đầy
free	miễn phí
freedom	tự do
freeze	đóng băng
freezing	đông lạnh
freight	vận tải hàng hóa
freighted	đã chuyên chở
french-canadian	Pháp-Canada
frenzy	giận điên lên, như điên
frequency	tần số
frequent	thường xuyên
frequently	một cách thường xuyên
fresh	tươi
fresher	mới hơn
fresh-written	mới viết
friction	ma sát
Friday	Thứ Sáu
friendliness	thân thiện
friendly	một cách thân thiện
friends	bạn bè
friendship	tình bạn
frighten	hoảng sợ
frightened	sợ hải
frightful	ghê sợ
frightfully	một cách kinh khủng
fringed	đã tua
frog	con ếch
from	từ
front	trước
frost	sương giá
frosty	lạnh giá
frothing	đang sùi bọt
frown	cau mày
frowning	đang cau mày
froze	đóng băng
frozen	đã đông lạnh
fruit	trái cây
frustrated	thất vọng, bực bội
fry	rán
fuel	nhiên liệu
fulfill	hoàn thành
full	đầy đủ
full-grown	lớn trưởng thành
fully	một cách đầy đủ
fume	cơn giận
fun	vui vẻ
function	chức năng
fund	quỹ tài chánh
fundamental	cơ bản
funeral	đám tang
fungus-covered	nấm phủ
funnel	cái phễu
funny	khôi hài, hài hước
fur	lông thú
furious	giận dữ
furiously	một cách giận dữ
furnished	đã trang trí nội thất
furniture	đồ nội thất
furred	phủ lông (thú); mọc lông
furry	nhiều lông lá
further	xa hơn
furthermore	hơn nữa
fury	cơn giận dử
fuss	lộn xộn
futile	vụn vặt
futilely	một cách vô ích
future	tương lai
gain	đạt được
gained	đã đạt được
gaining	đang đạt được
galvanized	mạ kẽm
gamble	đánh bạc
gamblers	con bạc
gambling	đang cờ bạc
game	trò chơi
gamekeepers	người bảo vệ thú (bị săn bắn)
games	trò chơi
gang	băng đảng
gangster	găng-xtơ
gap	khoảng cách
gape	sự há hốc miệng
gaping	đang há hốc miệng
garbage	rác
garbs	y phục
garden	vườn
gardener	người làm vườn
gardeners	những người làm vườn
gardener's	của người làm vườn
garlic	tỏi
garments	những đồ may mặc
gas	khí
gas station	trạm xăng
gashing	vết cắt sâu
gasp	giật nẩy lên
gasped	thở hổn hển
