Term	Definition
sacked	bị sa thải, bỏ trong bao tải
sacks	bao tải
sacred	thiêng liêng
sacrifice	hy sinh
sacrificed	đã hy sinh
sad	buồn
saddle	yên xe
safe	an toàn
safety	sự an toàn
sag	độ cong
sage	nhà hiền triết
sagged	đã oằn xuống
said	đã nói
sail	buồm
saint	thánh
sake	lợi ích
sakes	vì
salary	tiền lương
salesman	nhân viên bán hàng
salient	phun ra
saliva	nước bọt
salmon	cá hồi
saloon	quán rượu
saloon-keeper's	của chủ quán rượu
salt	muối
salute	chào
salve	xoa dịu
same	như nhau
sample	mẫu
sanctuary	nơi tôn nghiêm
sand	cát
sane	phải chăng
sang	đã hát
sanitary	vệ sinh
sanitate	làm vệ sinh
sank	đã chìm
sap	nhựa cây; hầm, hào
sapped	làm mất hết (sinh lực); phá hoại
sat	đã ngồi
satellite	vệ tinh
satire	châm biếm
satisfaction	sự hài lòng
satisfied	hài lòng
satisfy	đáp ứng
saturate	bão hòa
Saturday	Thứ Bảy
sausage	xúc xích
savage	tàn ác; man rợ; không văn minh
savagely	một cách - tàn ác; man rợ; không văn minh
savageness	man rợ
savagery	tính - tàn ác; man rợ; không văn minh
savages	những kẻ man rợ
save	tiết kiệm; cứu
saved	đã (được)- lưu, tiết kiệm; cứu
savor	hương thơm
savory	ngon
saw	đã thấy
saw-logs	gổ làm nhà đã cưa
saw-mill	máy cưa lớn
say	nói
say?	nói gì?
saying	nói
says	nói
scald	chổ phỏng
scale	quy mô, cái cân; leo
scaled	đã leo
scales	cân; (leo)
scallion	hành ta
scalp	da đầu
scandal	vụ bê bối
scar	vết sẹo
scarce	khan hiếm
scarcely	hầu như không
scare	sợ hãi
scarecrow	bù nhìn
scarlet	màu đỏ tươi
scarring	sẹo
scatter	tản ra
scattered	rải rác
scattering	đang phân tán
scene	cảnh
scent	hương thơm
scented	đã có mùi thơm
scenting	đánh hơi
scew	đinh vít
schedule	lịch trình
scheme	Đề án
scholar	học giả
school	trường học
schools	trường học
science	khoa học
scissor	cái kéo
scold	la mắng
scoop	cái xẻng
scope	phạm vi
scorch	làm cháy sém
score	điểm số
scored	đã ghi điểm số
scorn	khinh miệt
Scotch	(thuộc) nhân dân Ê-cốt
scour	sự lau
scout	lính trinh sát
scowl	cau có
scrabble	viết ngoáy
scramble	trườn sang
scrambling	đang - xáo trộn, loạn xạ
scrap	phế liệu
scrape	cạo
scraped	cạo
scratch	gãi
scratched	đã - cào, trầy xước
scream	hét lên
screamed	hét lên
screaming	đang la hét, kêu gào
screen	màn hình
screw	vặn chặt
scribble	viết nguệch ngoạc
script	kịch bản
scripture	Kinh Thánh
scroll	di chuyển
scrub	cọ sạch
scruff	cái gáy
scruple	thận trọng
sculpture	điêu khắc
scum	bọt, váng, cặn bã
sea	biển
seal	niêm phong
seam	đường may nổi
seaport	cảng biển
search	tìm kiếm
searched	tìm kiếm
season	mùa
seasons	mùa
seat	chỗ ngồi
seclude	sống tách biệt
second	giây; đứng thứ 2
second hand	đồ dùng rồi
seconded	thêm lời sau, đáp lời sau
secrecy	bí mật
secret	bí mật
secretary	Thư ký
secretly	một cách bí mật
section	phần
sections	phần
secure	đảm bảo
secured	đã bảo đảm
securely	một cách an toàn
sediment	trầm tích
seduce	dụ dỗ
see	xem
seed	hạt giống
seeing	đang nhìn thấy
seek	tìm kiếm
seeking	tìm kiếm
seem	dường như
seem'	dường như
seemed	đã dường như
seeming	đang dường như
seems	dường như
seen	đã thấy
segment	phân khúc
segregate	phân loại
seize	nắm bắt
seized	thu giữ
seizure	bắt
select	chọn
selected	đã chọn
self	bản thân
self-appointed	tự chỉ định
self-discipline	tính kỷ luật tự giác
selfish	ích kỷ
sell	bán
senate	thượng nghị viện
senator	Thượng nghị sĩ
send	gửi
senior	cao cấp
sensation	cảm giác
sensations	cảm giác
sense	giác quan, ý nghĩa
sensed	cảm nhận
senseless	không có cảm giác, bất tỉnh, điên rồ; vô nghĩa
senses	những giác quan
sensitive	nhạy cảm
sent	đã gửi
sentence	câu
sentimental	ủy mị
separate	riêng biệt
separated	tách
September	Tháng Chín
sequence	trình tự
sequential	tuần tự
serene	thanh bình
sergeant	trung sỹ
serial	nối tiếp
serious	nghiêm trọng
sermon	bài thuyết giáo
serpent	con rắn
servants	người - phục vụ, hầu
serve	phục vụ
served	phục vụ
set	đặt; (một) bộ
setter	người đặt
setting	thiết lập
settle	giải quyết
settles	giải quyết
seven	7
seventeen	mười bảy
seventh	thử bảy
seventy	70
several	một số, vài
severe	nghiêm trọng
severely	nghiêm trọng
sew	may
sewer	máy may
sex	quan hệ tình dục
sex-prerogative	giới tính đặc quyền
shade	che
shades	màu
shadow	bóng
shadows	bóng tối
shaggy	rậm rạp
shake	rung
shaken	lắc
shaking	lắc
shallow	nông
shambled	lê bước
shambling	lê bước
shame	xấu hổ
shank	chân
shape	hình
share	chia
shark	cá mập
sharp	bén, sắc nét
sharply	một cách sắc bén
shave	cạo râu
she	cô
shear	xén
shed	đã đổ
sheen	nước bóng
sheep	cừu
sheepishly	một cách e thẹn
sheer	tuyệt đối; vải mỏng dính
sheet	tờ, tấm
shelf	kệ
shell	vỏ
shellfish	động vật có vỏ
shelter	nơi trú ẩn
sheltered	đã (được) che chở
sheltering	đang trú ẩn
shepherd	người - chăn cừu, trông nom
sheriff	người đứng đầu hạt
shift	thay đổi
shifted	đã chuyển
shifting	đang chuyển
shine	tỏa sáng
shining	sáng
ship	tàu
shipping	đang vận chuyển
shirked	đã trốn việc
shirks	những hành vi trốn tránh
shiver	run lên
shivered	đã rùng mình
shivering	đang run rẩy
shock	sốc
shoes	những chiếc giày
shone	chiếu sáng
shook	đã - lắc, lay động
shoot	bắn
shoots	bắn
shop	cửa hàng
shore	bờ biển
shores	những bờ biển
shoreward	hướng bờ biển
short	ngắn
shortcut	đường tắt
shorter	ngắn hơn
short-haired	tóc ngắn
short-legged	chân ngắn
shortly	một chốc ngắn
shorts	quần soóc
shot	đã bắn
should	sẽ, nên
shoulder	bờ vai
shoulder-blade	xương vai
shoulders	những bờ vai
shouldn't	không nên
shout	kêu la
shouted	đã hét lên
shouting	la hét
shove	xô
show	trưng bày; chỉ, bảo, dạy
showed	đã - cho thấy, trưng bày; chỉ, bảo, dạy
shower	tắm bằng vòi hoa sen
showing	đang - cho thấy, trưng bày; chỉ, bảo, dạy
shown	đã - cho thấy, trưng bày; chỉ, bảo, dạy
shreds	sợi
shrewd	đầy tính toán
shrewdly	một cách - khôn ngoan, tính toán
shriek	thét
shrieked	đã rít/thét lên
shrieking	đang rít/thét lên
shrill	kêu the thé, rít lên in tai nhức óc
shrimp	tôm
shrink	rút ngắn
shrouded	bao phủ
shrubs	cây bụi
shrug	nhún vai
shrugged	đã - nhún vai, giũ sạch
shunned	đã tránh xa
shutting	đang - tắt, đóng
shy	nhút nhát
sick	ốm
sickly	hay đau
side	bên
side effect	tác dụng phụ
sided	mặt
sides	những bên
sidewalk	vỉa hè
sigh	tiếng thở dài
sight	tầm nhìn, ánh mắt
sights	những cảnh quan
sightseeing	tham quan
sign	ký, dấu hiệu
signed	đã - ký, đưa dấu hiệu
signs	dấu hiệu
silence	sự im lặng
silent	im lặng
silient	yên tĩnh
silk	tơ lụa
silky	mướt
silly	ngốc nghếch
silver	bạc
silvery	lóng lánh như bạc
similar	như nhau
simmer	nấu sôi
simple	đơn giản
simply	một cách đơn giản
simulate	mô phỏng
simulated	mô phỏng
simultaneous	đồng thời
sin	tội
since	kể từ khi
sinew	bắp thịt; sức khoẻ; nguồn tiếp sức, rường cột
sing	hát
singer	ca sỹ
singing	đang hát
single	duy nhất, đơn độc
sings	hát
sing-song	hát bài hát
sink	chìm
sinking	đang chìm
sinks	bồn, chìm
sinnk	bồn rửa bát
sip	nhâm nhi
sir	ngài
sister	chị gái
sister in law	chị dâu (em dâu)
sisters	chị em
sister's	của chị/em gái
sit	ngồi
site	địa điểm
sitting	ngồi
situation	tình hình
six	6
sixteen	mười sáu
sixth	thứ sáu
sixty	60
sixty-mile	sáu mươi dặm
size	kích cở
skeletons	những bộ xương
skid	trượt bánh
skill	kỹ năng
skillful	khéo léo
skim	hớt bọt
skin	da
skins	những bộ da
skip	bỏ qua
skirt	váy
skirted	đã đi men
skulking	đang - trốn tránh, lẩn lút, lỉnh
skull	hộp sọ
sky	bầu trời
skyward	lên trời
slack	uể oải
slacked	buông lơi
slake	giải khát
slam	đóng sầm
slammed	đóng sầm
slanted	đã nghiêng
slap	tát
slapping	đang tát
slash	rạch, cắt giảm
slashed	đã - rạch, cắt giảm
slashing	đang - rạch, cắt giảm
slave	nô lệ
slaver	nhỏ dãi
slavered	đã nhỏ dãi
slay	giết
slaying	giết
sled	xe kéo trượt băng
sledded	trượt xe tuyết
sled-dogs	những xe trượt tuyết-chó
sleds	xe trượt tuyết
sleek	trơn
sleep	ngủ
sleeping	đang ngủ
sleeping-robe	áo choàng ngủ
sleepy	buồn ngủ
sleet	mưa tuyết
sleeve	tay áo
slender	mảnh mai
slept	đã ngủ
slice	lát, miếng mỏng
slid	trượt
slide	trượt
slight	nhẹ
slightly	hơi
slim	mỏng
slipped	giảm
slippery	trơn
slipping	trượt
slipshod	cẩu thả
slope	dốc
sloped	dốc
slouch	người chậm chạp
slovenly	ăn mặc cẩu thả
slow	chậm
slower	chậm hơn
slowly	một cách từ từ
sluggish	chậm chạp
sluice	cửa cống, cống; ào chảy mạnh
slyly	một cách kín đáo
small	nhỏ
smart	thông minh
smash	phá
smashed	đã đập nát
smashing	đập nát
smear	bôi chất nhờn, bôi chất dính
smell	mùi; ngửi
smelled	mùi
smelling	đang ngửi
smells	mùi
smile	nụ cười
smiled	đã mỉm cười
smiling	đang mỉm cười
smoke	hút thuốc lá
smooth	mịn
smother	làm ngột thở
smothered	đã - trong tình trạng âm ỉ; làm ngạt thở; giấu giếm
smudge	làm bẩn
smuggle	buôn lậu
snack	bữa ăn nhẹ
snags	cừ, cọc gổ; sự trở ngại bất ngờ
snail	ốc sên
snake	con rắn
snap	cái táp/đớp; tiếng gãy răng rắc; đột xuất
snapped	đã - táp/đớp; gãy răng rắc
snapping	đang - táp/đớp; chụp
snaps	cắn, táp; tiếng gãy rắc
snarl	(tiếng)gầm gừ
snarled	đã gầm gừ
snarling	đang gầm gừ
snatch	giật lấy
sneak	trốn, lẻn
sneakers	giày thể thao
sneered	chế nhạo
sneering	chế nhạo
sneeze	hắt hơi
sniff	ngửi
sniffed	đã ngửi
sniffing	đánh hơi
sniffs	ngửi
snore	ngáy
snort	(tiếng) khịt mũi
snow	tuyết
snowdrifts	những cơn gió tuyết
snowed	tuyết đã rơi
snowfall	tuyết rơi
snows	tuyết
snowshoe	giày đi tuyết
snow-white	tuyết trắng
snub	mũi tẹt và hếch; chỉnh, làm nhục, làm mất mặt
snubbed	chỉnh, làm nhục, làm mất mặt
snubbing	chỉnh, làm nhục, làm mất mặt
snug	vừa khít
so	để
soak	ngâm
soap	xà phòng
soars	tăng vọt, bay bổng
sob	khóc nức nở
sobbed	đã khóc nức nở
sobbing	đang thổn thức
sober	tỉnh táo
social	xã hội
society	xã hội
socks	tất
soft	mềm
softened	đã trở thành mềm
softer	mềm, nhẹ nhàng hơn
softly	một cách - mềm mại, nhẹ nhàng
soft-sighing	thở dài nhẹ
soil	đất
solar	thuộc về mặt trời
sold	bán
soldier	người lính
sole	duy nhất
solemn	trang nghiêm
solid	rắn
solidarity	sự đoàn kết
solidly	một cách - kiên cố, chắc chắn
soliloquized	đã - nói một mình, độc thoại
solitary	cô độc
soluble	hòa tan
solution	giải pháp
solve	giải quyết
sombre	tối
some	một số/vài
somehow	bằng cách này hay cách khác
something	một cái gì đó
sometimes	đôi khi
somewhat	hơi
somewhere	một nơi nào đó
son	con trai
son in law	con rể
song	bài hát
songs	những bài hát
sons	những người con trai
soon	sớm
sooner	sớm hơn
soothe	làm dịu
sore	đau
sorely	một cách - đau đớn, ê chề
sorrow	nỗi buồn
sorry	xin lỗi, đau buồn
sort	phân loại
sorts	các loại
sou	xu
sought	tìm kiếm
soul	tâm hồn
sound	âm thanh
sounded	nghe
sounding	đang - kêu, vang tiếng
soundly	một cách - đúng, đứng đắn, đầy đủ
sounds	những âm thanh
sour	chua
source	nguồn
sourer	chua hơn
south	hướng nam
southland	vùng đất hướng nam
space	không gian
spaces	không gian
spacious	rộng rãi
spare	dự phòng
spark	tia lửa
sparks	tia lửa
sparrow	chim sẻ
spasm	sự co thắt
spasmodically	một cách - co thắt; lúc có lúc không; lác đác
spat	sự cải nhau
speak	nói
spear	thương
spears	ngọn dáo
special	đặc biệt
specific	cụ thể
specimen	mẫu
spectator	người xem
speculate	đầu cơ
sped	đã vọt nhanh
speech	bài phát biểu
speed	tốc độ
speedily	một cách mau lẹ
spell	đánh vần
spend	tiêu
spent	tiêu
sphere	phạm vi
spicy	gia vị
spider	nhện
spill	làm đổ
spilling	tràn
spin	quay
spine	xương sống
spinning	quay
spiral	xoắn ốc
spirit	tinh thần
spirit-broken	tinh thần bị phá vỡ
spit	sự khạc nhổ
spite	Mặc dù
splash	làm bắn
splashes	nước văng tung toé
splay	xoay ra ngoài
splendid	lộng lẫy, huy hoàng; tuyệt, tốt
splendor	huy hoàng
splinter	mảnh vụn
splintering	đang vỡ vụn
split	chia
spluttered	lắp bắp
spoil	làm hư hỏng
spoiled	hư hỏng
spoke	đã nói
spontanous	tự phát
spoon	thìa
spot	điểm, nơi, chấm; nhìn thấy
spouse	người phối ngẫu
spouted	mọc mầm
sprang	đã - mọc, nhẩy
spray	phun, xịt
sprayed	đã phun
spread	lây lan, tỏa lan
spring	mùa xuân, suối, lò xo, cái nhảy
springiness	tính co dãn, tính đàn hồi
springs	lò xo
springtime	mùa xuân
sprint	chạy nước rút
sprout	búp
spruce-bough	cành cây vân sam(loại thông)
sprung	bung lên
spurred	đã thúc đẩy
spy	gián điệp
squabbling	đang cãi nhau
square	hình vuông
squarehead	đầu ngốc
squarely	một cách vuông vắn
squatted	đã quì
squaw	đàn bà da đỏ
squeeze	ép
squid	mực
squirmed	đã quằn quại
squirrel	con sóc
squirrels	sóc
squishy	mềm
stab	đâm
stable	ổn định
stables	những cái chuồng
stack	chất đống
stage	sân khấu
stagger	lảo đảo
staggered	đã loạng choạng
staggering	đang - loạng choạng; đáng kinh ngạc
stain	vết
stair	cầu thang
stalk	thân cây
stalked	đã theo dõi
stamp	tem
stamped	đã - đóng dấu, giậm chân
stand	đứng
standard	tiêu chuẩn
standing	đang đứng
stands	đứng; những giá, mắc (áo, ô)
standstill	sự ngừng lại, đứng yên
star	ngôi sao
stars	những vì sao
start	bắt đầu
started	đã bắt đầu
starting	bắt đầu
starts	bắt đầu
starvation	cái đói
starved	đói
starves	bỏ đói
starving	đang đói
state	trạng thái, tiểu bang, nhà nước
stated	đã quy định
stately	oai nghiêm
station	trạm
statue	tượng
stay	ở
staying	ở
stead	thay vì, thay mặt cho ai
steadily	một cách - ổn định, đều đặn
steal	ăn cắp
stealing	ăn cắp
stealthily	vụng trộm
steamer	tàu chạy bằng hơi nước
steamship	thuyền chạy bằng hơi nước
steel	thép
steep	dốc
steeped	ngập tràn
steeply	dốc
step	bước
stepped	bước
steps	những bước
stern	nghiêm khắc, lạnh lùng
stick	cây gậy; dính
sticks	những cây gậy; dính
stiff	cứng, đơ
stiffness	độ cứng
still	vẫn còn
stinging	đau nhói
stir	khuấy
stirred	đã khuấy
stirring	đang khuấy
stirrings	rung động
stole	đã ăn cắp
stomach	dạ dày
stone	đá
stood	đã đứng
stooped	khom
stop	thôi
stopover	sự ngừng hẳn
stoppage	sự tạm nghi
stoppages	những sự ngừng lại
stopped	dừng lại
stopping	dừng lại
store	cửa hàng; lưu trữ
stormed	đã - xông vô, bị bão
story	câu chuyện
stout	vạm vỡ
stoutest	vạm vỡ nhất
stoutly	mạnh mẽ, rắn chắc
straight	ngay thẳng
strain	sự căng thẳng
strained	đã căng thẳng
straining	đang căng thẳng
strange	lạ
strangely	một cách lạ lùng
stranger	người lạ
strangers	những người lạ
strangle	thắt cổ
strangling	bóp nghẹt
strapped	ràng chặt
straps	những dây đai
straw	rơm
strawberries	dâu
